"","sample_key","metal","site","analyst","X","conc_blanked","conc_blanked_error","conc_unblanked","conc_unblanked_error"
"178",57,"Cr52","QC","AVM",224,63169.1643841996,2393.33149024594,64772.6484641786,2408.41684924319
"179",57,"Cr53","QC","AVM",225,64702.3850207281,1835.5067135513,66329.0749865892,1854.23408886353
"180",57,"Pb208","QC","AVM",228,1031836.45060523,34825.7036106875,1033199.74427203,34775.331728837
"181",58,"As75","B","SS",229,2903.82216885829,174.509681287944,3036.45652317689,85.5208959291863
"182",58,"Cd111","B","SS",230,120.624425055814,18.9495411441352,134.897848436608,10.7993153892217
"183",58,"Cd114","B","SS",233,218.623602991152,19.7881649684799,236.969517472915,6.46451967366954
"184",58,"Cr52","B","SS",231,22017.5802568627,621.226908208095,23512.6612656997,631.149574776754
"185",58,"Cr53","B","SS",232,22543.6852588848,622.744918232707,24060.4033264918,628.765247095399
"186",58,"Pb208","B","SS",234,191988.723397498,5098.02000519859,193259.851995622,4690.58395197241
"187",59,"As75","QC","SS",237,15345.2552918178,411.847818115152,15476.9824120477,385.467321005539
"188",59,"Cd111","QC","SS",238,2448.00413686773,104.844079252057,2462.17992840705,103.871195132658
"189",59,"Cd114","QC","SS",239,2563.1619022891,69.514503958961,2581.38232862647,67.3348294737576
"190",59,"Cr52","QC","SS",235,63434.7865118881,1739.32587924149,64919.6409963556,1761.9742224502
"191",59,"Cr53","QC","SS",236,64925.1654788293,1660.37266470615,66431.5090221208,1683.40844194923
"192",59,"Pb208","QC","SS",240,1043856.78451346,28776.3297794784,1045119.21844721,28728.3577219335
"193",6,"As75","C","MRMJ",243,3856.82103733082,211.349315381275,4000.56972355885,132.415548763038
"194",6,"Cd111","C","MRMJ",246,154.589285157882,21.4899433948426,170.058775468341,13.3090178350453
"195",6,"Cd114","C","MRMJ",241,227.777208938838,21.7744475140337,247.660451994181,7.90571713020236
"196",6,"Cr52","C","MRMJ",244,30441.7580025136,805.135605852067,32062.1219868591,817.691548910299
"197",6,"Cr53","C","MRMJ",242,31212.3888335178,787.827717605636,32856.2029925035,797.243726824631
"198",6,"Pb208","C","MRMJ",245,269706.816389651,7026.57198965458,271084.461472223,6688.63120132616
"199",8,"As75","E","ARG",346,2893.18831615477,191.468850914658,3048.6216899469,68.2038379838777
"200",8,"Cd111","E","ARG",348,107.986294716246,22.4872934132269,124.713230682708,13.0951140632127
"201",8,"Cd114","E","ARG",347,118.570194062218,22.3171292250261,140.069656986828,3.68076102507033
"202",8,"Cr52","E","ARG",344,13244.1155731507,391.606765243327,14996.1916961879,372.014997436351
"203",8,"Cr53","E","ARG",345,13523.9435171828,399.289809049677,15301.3759746392,369.411838239745
"204",8,"Pb208","E","ARG",343,117448.801454846,3450.54630474584,118938.429142522,2489.40960783164
